iter	Passed	Remaining
408	4351	6287
409	4360	6274
410	4368	6260
411	4376	6246
412	4385	6232
413	4393	6218
414	4402	6205
415	4411	6192
416	4419	6178
417	4427	6164
418	4436	6152
419	4444	6137
420	4453	6124
421	4461	6111
422	4470	6097
423	4478	6084
424	4487	6071
425	4496	6058
426	4504	6045
427	4514	6032
428	4522	6019
429	4530	6005
430	4538	5992
431	4547	5979
432	4556	5965
433	4564	5952
434	4572	5938
435	4580	5925
436	4588	5911
437	4597	5899
438	4606	5886
439	4616	5875
440	4625	5862
441	4634	5850
442	4642	5837
443	4651	5825
444	4660	5812
445	4668	5799
446	4676	5786
447	4685	5773
448	4694	5760
449	4702	5747
450	4711	5735
451	4720	5722
452	4729	5710
453	4738	5698
454	4746	5685
455	4755	5673
456	4763	5660
457	4772	5647
458	4780	5634
459	4789	5622
460	4798	5610
461	4807	5598
462	4815	5585
463	4824	5573
464	4833	5561
465	4841	5548
466	4850	5535
467	4858	5522
468	4866	5510
469	4875	5497
470	4884	5485
471	4892	5473
472	4901	5460
473	4910	5448
474	4918	5436
475	4928	5425
476	4937	5414
477	4946	5401
478	4955	5389
479	4964	5377
480	4972	5365
481	4981	5353
482	4989	5341
483	4998	5329
484	5007	5317
485	5015	5304
486	5026	5295
487	5042	5290
488	5055	5282
489	5068	5275
490	5080	5266
491	5091	5257
492	5102	5247
493	5111	5236
494	5121	5225
495	5132	5214
496	5141	5203
497	5152	5193
498	5162	5182
499	5171	5171
500	5181	5160
501	5190	5149
502	5200	5138
503	5210	5128
504	5221	5118
505	5233	5109
506	5245	5100
507	5256	5090
508	5266	5080
509	5278	5071
510	5289	5061
511	5300	5052
512	5310	5041
513	5321	5031
514	5331	5020
515	5341	5009
516	5351	4999
517	5359	4987
518	5369	4976
519	5378	4965
520	5388	4954
521	5399	4944
522	5409	4933
523	5420	4923
524	5430	4912
525	5439	4901
526	5449	4891
527	5458	4879
528	5471	4871
529	5481	4860
530	5490	4849
531	5499	4838
532	5507	4825
533	5517	4814
534	5525	4802
535	5533	4790
536	5541	4778
537	5550	4766
538	5558	4753
539	5567	4742
540	5575	4730
541	5584	4719
542	5592	4706
543	5601	4695
544	5609	4683
545	5618	4671
546	5627	4660
547	5635	4648
548	5644	4636
549	5652	4624
550	5660	4613
551	5669	4601
552	5678	4589
553	5686	4577
554	5694	4566
555	5702	4554
556	5711	4542
557	5719	4530
558	5727	4518
559	5736	4506
560	5744	4495
561	5752	4483
562	5761	4471
563	5769	4460
564	5777	4448
565	5786	4437
566	5795	4426
567	5804	4414
568	5813	4403
569	5821	4391
570	5829	4380
571	5838	4368
572	5846	4357
573	5855	4345
574	5864	4334
575	5873	4323
576	5882	4312
577	5891	4301
578	5900	4290
579	5909	4279
580	5917	4267
581	5926	4256
582	5935	4245
583	5944	4234
584	5952	4222
585	5961	4211
586	5970	4201
587	5979	4189
588	5988	4178
589	5996	4167
590	6005	4156
591	6015	4146
592	6025	4135
593	6034	4124
594	6042	4113
595	6051	4101
596	6059	4090
597	6068	4079
598	6077	4068
599	6085	4057
600	6094	4046
601	6104	4035
602	6113	4024
603	6122	4013
604	6131	4002
605	6140	3992
606	6149	3981
607	6159	3971
608	6168	3960
609	6176	3949
610	6185	3938
611	6193	3926
612	6203	3916
613	6211	3905
614	6220	3893
615	6228	3882
616	6237	3871
617	6245	3860
618	6254	3849
619	6263	3838
620	6272	3827
621	6282	3817
622	6291	3806
623	6299	3795
624	6307	3784
625	6318	3774
626	6326	3763
627	6335	3752
628	6344	3741
629	6352	3730
630	6360	3719
631	6368	3708
632	6377	3697
633	6385	3686
634	6393	3675
635	6402	3664
636	6412	3654
637	6423	3644
638	6433	3634
639	6441	3623
640	6451	3613
641	6460	3602
642	6469	3592
643	6478	3581
644	6486	3570
645	6495	3559
646	6504	3548
647	6512	3537
648	6521	3526
649	6530	3516
650	6539	3505
651	6548	3495
652	6556	3483
653	6564	3473
654	6572	3461
655	6581	3451
656	6589	3440
657	6597	3429
658	6606	3418
659	6614	3407
660	6623	3396
661	6633	3386
662	6641	3375
663	6649	3365
664	6658	3354
665	6666	3343
666	6676	3333
667	6685	3322
668	6694	3312
669	6704	3301
670	6712	3291
671	6721	3280
672	6729	3269
673	6739	3259
674	6748	3249
675	6756	3238
676	6765	3227
677	6774	3217
678	6782	3206
679	6791	3195
680	6799	3185
681	6808	3174
682	6816	3163
683	6826	3153
684	6836	3143
685	6845	3133
686	6856	3123
687	6864	3113
688	6873	3102
689	6881	3091
690	6889	3081
691	6898	3070
692	6907	3059
693	6915	3049
694	6923	3038
695	6932	3027
696	6942	3017
697	6950	3007
698	6958	2996
699	6966	2985
700	6975	2975
701	6983	2964
702	6992	2954
703	7000	2943
704	7008	2932
705	7017	2922
706	7026	2911
707	7037	2902
708	7050	2893
709	7060	2883
710	7073	2874
711	7084	2865
712	7094	2855
713	7105	2846
714	7114	2835
715	7123	2825
716	7132	2815
717	7141	2804
718	7150	2794
719	7159	2784
720	7167	2773
721	7176	2763
722	7185	2752
723	7193	2742
724	7201	2731
725	7210	2721
726	7218	2710
727	7226	2700
728	7234	2689
729	7243	2679
730	7251	2668
731	7261	2658
732	7271	2648
733	7281	2638
734	7292	2629
735	7303	2619
736	7314	2610
737	7325	2600
738	7336	2591
739	7346	2581
740	7357	2571
741	7366	2561
742	7377	2551
743	7387	2541
744	7397	2531
745	7406	2521
746	7416	2511
747	7426	2501
748	7436	2492
749	7448	2482
750	7460	2473
751	7473	2464
752	7483	2454
753	7495	2445
754	7505	2435
755	7517	2426
756	7528	2416
757	7538	2406
758	7548	2396
759	7558	2386
760	7567	2376
761	7577	2366
762	7587	2356
763	7596	2346
764	7606	2336
765	7618	2327
766	7628	2317
767	7638	2307
768	7647	2297
769	7657	2287
770	7666	2277
771	7674	2266
772	7683	2256
773	7694	2246
774	7703	2236
775	7712	2226
776	7720	2215
777	7728	2205
778	7737	2195
779	7746	2184
780	7754	2174
781	7763	2164
782	7771	2153
783	7779	2143
784	7789	2133
785	7797	2122
786	7805	2112
787	7814	2102
788	7822	2092
789	7831	2081
790	7840	2071
791	7849	2061
792	7857	2051
793	7866	2040
794	7875	2030
795	7884	2020
796	7893	2010
797	7902	2000
798	7910	1990
799	7919	1979
800	7928	1969
801	7936	1959
802	7945	1949
803	7953	1938
804	7961	1928
805	7970	1918
806	7978	1908
807	7987	1898
808	7996	1887
809	8006	1878
810	8014	1867
811	8023	1857
812	8031	1847
813	8039	1837
814	8048	1826
815	8057	1816
816	8065	1806
817	8074	1796
818	8083	1786
819	8092	1776
820	8102	1766
821	8112	1756
822	8120	1746
823	8128	1736
824	8136	1726
825	8145	1715
826	8153	1705
827	8161	1695
828	8170	1685
829	8178	1675
830	8187	1665
831	8196	1655
832	8204	1644
833	8214	1635
834	8223	1625
835	8232	1614
836	8240	1604
837	8251	1595
838	8259	1585
839	8268	1574
840	8277	1564
841	8285	1554
842	8294	1544
843	8302	1534
844	8311	1524
845	8320	1514
846	8329	1504
847	8338	1494
848	8347	1484
849	8356	1474
850	8364	1464
851	8373	1454
852	8382	1444
853	8390	1434
854	8400	1424
855	8409	1414
856	8418	1404
857	8428	1394
858	8438	1385
859	8446	1375
860	8455	1365
861	8465	1355
862	8474	1345
863	8483	1335
864	8492	1325
865	8501	1315
866	8510	1305
867	8521	1295
868	8532	1286
869	8543	1276
870	8552	1266
871	8561	1256
872	8571	1246
873	8582	1237
874	8593	1227
875	8603	1217
876	8613	1208
877	8623	1198
878	8633	1188
879	8643	1178
880	8655	1169
881	8682	1161
882	8692	1151
883	8702	1141
884	8712	1132
885	8722	1122
886	8732	1112
887	8745	1103
888	8758	1093
889	8768	1083
